identifier,dr7obid_complete,List_num,RA_deg,Dec_deg,PETROR50_R_arcsec,redshift,REDSHIFT_ERR,ang_arcsec,angsize_to_petro,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,MorphType
2944307771320854528,587742904475189327,103,192.8331299,18.53298378,2.4862185,0.071068,0.000162178,18.76931253,7.54934151,288.7514856,225.7489271,85698.52264,20239.45296,Ir
2274467952721946624,587739406784069694,446,190.1801453,34.63604355,3.4902408,0.0934725,9.77E-05,11.4569586,3.282569674,369.980464,369.8321964,67026.86065,26226.02621,Ir
1903984208339036160,588018055128678723,193,251.5793625,26.72216387,4.0789638,0.0355699,7.71E-05,16.36492351,4.012029601,150.7505002,258.9167106,39009.77844,10384.80299,Ir
2646019875385927680,587741491440713848,164,155.5610504,27.72303581,5.0565915,0.0511041,7.88E-05,20.28719478,4.012029601,212.5986428,208.8584553,68199.82005,14755.94388,Ir
1633711053693020160,588017110222569669,268,185.4295044,46.81255341,6.772948,0.0245596,0.00020582,33.88610533,5.00315451,105.4796037,125.0409902,56518.53392,7228.062836,Ir
2290233300784015360,587738615414194228,507,167.655899,35.13857269,3.1297052,0.0320091,9.03E-05,16.38007948,5.233745173,136.2421118,258.6771431,35288.08685,9369.336264,Ir
322122855615588352,588848900986896513,233,181.0522308,0.802580059,3.4080722,0.00982249,0.00011297,14.51830165,4.259974787,42.94971857,291.8490239,9859.999205,2922.760352,Ir
2023389817647163392,588017726554177675,444,199.3605347,8.203028679,4.022124,0.0240446,9.69E-05,20.12330783,5.00315451,103.3322139,210.5594269,32880.30573,7079.178199,Ir
2181030354360494080,587739157650473192,411,140.4905663,28.53483133,5.505919,0.0219357,0.000144647,20.58923966,3.739473766,94.51055045,205.7944943,30769.56408,6468.336454,Ir
2034579267035097088,587736540941844622,423,208.9849396,8.045732498,3.0118382,0.0440073,7.86E-05,12.20564042,4.052555153,184.6318847,347.1470582,35634.28231,12770.7001,Ir
2821567084188690432,587742572150522015,6,175.1095276,19.41410828,7.064905,0.0114917,0.000224131,31.81213018,4.502839059,50.14603269,133.192972,25224.93597,3415.146157,Ir
967204683699480576,587732053236122083,515,118.8457718,27.07500648,3.2501137,0.0156749,0.000224596,13.49505538,4.15217947,68.05186397,313.9781235,14521.63238,4643.730169,Ir
1908574398080641024,588017704010776758,32,195.3680878,12.56364918,5.1827226,0.0221324,8.24E-05,23.33696575,4.502839059,95.33528079,181.5639706,35180.23863,6525.390026,Ir
1361350746066413568,587734622705680507,527,130.8121796,32.63248825,4.036068,0.0665825,7.97E-05,15.01459412,3.720104349,271.9586437,282.2022448,64567.98081,19020.05663,Ir
1356854842953328640,588297864172601600,397,121.9621636,26.29154089,4.9645886,0.0262705,0.000174672,19.91807642,4.012029601,112.594191,212.7289842,35462.07315,7721.879448,Ir
377315315689744384,587724650335109245,167,189.9505157,-1.771098971,5.8108606,0.0142197,8.99E-05,29.07263342,5.00315451,61.84380569,145.7436657,28430.29206,4217.213408,Ir
1021246230900008960,587731890574131329,179,163.6676788,55.620224,4.4556313,0.046751,8.40E-05,18.05669158,4.052555153,195.5011021,234.6582786,55819.7815,13540.52081,Ir
305176080950519808,588848898827550968,350,154.0257416,-0.91023767,4.2459655,0.0611099,8.85E-05,26.22619931,6.176733963,251.2235682,161.5618075,104182.9089,17522.5138,Ir
2069413157914306560,587739132417736879,161,211.4548035,34.82166672,6.714689,0.0257401,0.000124286,27.21164751,4.052555153,110.3917552,155.710975,47499.84772,7568.921226,Ir
2844181296354191360,587742589868835045,299,242.5125427,11.07131767,4.4776073,0.0481375,0.000150667,18.14575054,4.052555153,200.9663597,233.5065808,57663.24039,13928.43294,Ir
3247120970913179648,587729227691196677,277,245.1327057,49.79742813,3.768226,0.0408607,7.61E-05,17.74974117,4.710370655,172.0773313,238.7162789,48296.5856,11884.21384,Ir
2232665345452173312,587739408385900635,461,165.8184662,34.34802628,5.6696534,0.0290622,0.000116861,18.61103231,3.282569674,124.1396522,227.6688414,36532.69656,8525.028297,Ir
1651800218959636480,588298663581515874,125,210.3748932,44.82660294,7.2831464,0.0359829,0.000194292,28.63871699,3.932190212,152.4251474,147.9518851,69025.71651,10502.25009,Ir
1629219273865979904,588017721179963537,294,178.9883728,42.36916733,2.3526912,0.0241319,7.59E-05,11.77087759,5.00315451,103.6964177,359.969096,19300.71237,7104.424162,Ir
941336749500557312,588010359081664548,13,169.5363581,4.61611293,10.709171,0.00779521,7.89E-06,58.9376009,5.503469961,34.16996118,71.89217239,31844.73807,2323.086801,Ir
1987368149988698112,587738570850238486,351,183.1132202,16.20920753,4.8968244,0.0245939,7.96E-05,20.14270102,4.113421143,105.6225282,210.3567024,33641.4733,7237.974884,Ir
1476093307166681088,587735694830993470,345,176.0727844,55.93182373,3.0217912,0.0605892,8.60E-05,15.11848827,5.00315451,249.2364299,280.2629528,59582.76195,17379.45902,Ir
2071736151189776384,587739130808303785,55,214.2135647,32.80288946,5.5320516,0.0223446,9.16E-05,26.18488927,4.733305319,96.22455603,161.8166921,39841.65767,6586.921046,Ir
381826606731126784,587724650874929209,33,196.7040558,-1.289920688,2.95001,0.0275817,8.10E-05,18.22142696,6.176733963,118.0266206,232.5367917,34006.59106,8099.503679,Ir
1624741786549250048,588017719567122475,49,172.3273621,40.6427536,3.8180106,0.0216345,0.000119549,17.19188726,4.502839059,93.24690108,246.4623052,25348.87583,6380.940463,Ir
323269921523918848,587722983352107157,76,183.2512512,0.04376154,6.354543,0.0209705,9.39E-05,25.75213598,4.052555153,90.45788134,164.5359503,36834.97765,6188.138561,Ir
1882587440540051456,588017711512944695,10,212.5550575,48.31773674,10.705441,0.00691907,0.000353776,53.56097542,5.00315451,30.36202347,79.10894325,25714.60936,2063.354774,Ir
1829714944648570880,588017730298773790,57,184.5450052,8.32213658,7.5561285,0.014637,0.000163939,21.54795264,2.851718659,63.62632041,196.6382717,21679.2155,4339.617677,Ir
2266516840878467072,587739608090476735,320,184.770401,31.69910812,4.095588,0.0251876,9.03E-05,18.25735588,4.457810668,108.0945205,232.0791791,31206.30168,7409.464677,Ir
1369150407263152128,588297863109607607,234,146.8521423,39.57478333,5.936491,0.066897,7.67E-05,17.53825079,2.954312707,273.1419782,241.5949124,75748.74966,19105.78861,Ir
3099626703828314112,587742627454910740,20,231.0535278,11.6938839,5.8796983,0.00948926,1.09E-05,19.30051933,3.282569674,41.50956237,219.5356556,12668.28694,2824.315887,Ir
1473941287982884864,587735696977821839,349,173.1153412,57.36180496,3.6445158,0.00514125,0.000113716,11.96337704,3.282569674,22.60990864,354.176931,4277.138759,1535.259568,Ir
2072873596287477760,587739132956639364,28,217.0247192,33.81826401,8.409562,0.013569,1.09E-05,46.28177185,5.503469961,59.06067506,91.55120894,43222.42464,4026.195493,Ir
1356858416366118912,588297864172536069,253,121.9727707,26.20985413,3.6860015,0.0468631,0.000169945,22.76745065,6.176733963,195.9436554,186.1056923,70541.76986,13571.91147,Ir
1342195054067869696,587732771035283700,314,135.8996481,6.31981257,6.3341413,0.0418816,0.000102413,23.10251127,3.647299638,176.1610948,183.406562,64353.16833,12172.25678,Ir
2180960535372130304,588017977802096779,66,138.4759153,29.17905796,6.336106,0.0135255,1.67E-05,23.10967712,3.647299638,58.87446152,183.3496913,21514.01998,4013.419136,Ir
1355597826268096512,587734622162387122,410,118.4267654,22.94952202,5.8846583,0.0286078,7.95E-05,15.64660871,2.658881436,122.2657642,270.8032292,30250.03147,8394.521353,Ir
852351621881948160,587728906100801855,387,119.1913605,35.67559433,2.826722,0.141326,8.85E-05,12.72827423,4.502839059,529.6363065,332.8929035,106597.7441,38481.22888,Ir
2925175440152750080,587742774024339573,152,186.1453857,17.14356422,4.076814,0.0210388,0.000105889,20.80407886,5.103023798,90.74497269,203.6692993,29851.88829,6207.979094,Ir
1525697225471059968,588017604700930121,149,232.6647339,33.92827606,2.1297166,0.0481793,4.57E-05,10.65530121,5.00315451,201.1308411,397.6567232,33887.93793,13940.11616,Ir
1851039148102674432,588017977830211814,331,215.9185052,34.94104017,4.5849676,0.0247276,0.000107372,28.32012509,6.176733963,106.179528,149.6162941,47548.48676,7276.606927,Ir
2746155148609873920,587741816240537850,459,138.4217377,17.51719284,3.5739532,0.0503317,8.02E-05,11.73175039,3.282569674,209.5780247,361.1696485,38878.48195,14540.81247,Ir
851303787283900416,587728906100146438,347,118.1598996,34.45492196,4.4339957,0.0374067,8.17E-05,22.18396558,5.00315451,158.1855629,191.0006644,55488.9835,10906.61852,Ir
