#Wavelength          Flux                Uncertainty          Subtracted Sky
#[Angstrom]   [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A]
4178.30            18.681300                1.596027              -3.666838
4179.27            18.885400                1.579253              -3.452602
4180.23            21.550600                1.613061              -0.777411
4181.19            19.984300                1.661717              -2.332930
4182.15            22.586200                1.664147               0.268971
4183.12            22.536200                1.768027               0.228651
4184.08            22.045700                1.644465              -0.251070
4185.04            23.848700                1.681932               1.561436
4186.01            23.696800                1.691619               1.420189
4186.97            26.093200                1.701426               3.827412
4187.94            24.208600                1.659164               1.931988
4188.90            23.834900                1.649079               1.536882
4189.86            22.503000                1.655988               0.184694
4190.83            19.658700                1.648456              -2.679743
4191.79            22.580800                1.707313               0.221323
4192.76            23.940600                1.746531               1.559778
4193.73            23.911300                1.733110               1.508213
4194.69            20.878000                1.672964              -1.539793
4195.66            19.128800                1.595219              -3.311220
4196.62            20.493800                1.616224              -1.946220
4197.59            21.084700                1.605199              -1.355320
4198.56            25.799100                1.617166               3.366491
4199.52            24.692700                1.596235               2.262726
4200.49            22.723000                1.563040               0.272989
4201.46            23.058100                1.611453               0.589331
4202.43            24.732800                1.689331               2.264030
4203.39            25.651700                1.722559               3.176689
4204.36            24.219800                1.663445               1.744791
4205.33            25.889600                1.687221               3.392691
4206.30            24.384600                1.601883               1.865656
4207.27            23.571100                1.632008               1.052156
4208.24            25.822600                1.648142               3.303656
4209.20            23.842200                1.659009               1.312172
4210.17            22.365200                1.658129              -0.154150
4211.14            23.300900                1.679894               0.792625
4212.11            25.771000                1.700828               3.272987
4213.08            24.430000                1.644379               1.943329
4214.05            20.691900                1.564918              -1.784700
4215.02            23.089900                1.576052               0.623222
4215.99            21.903900                1.548964              -0.562248
4216.97            24.774500                1.616239               2.308352
4217.94            22.763700                1.570432               0.293026
4218.91            21.603300                1.605997              -0.864576
4219.88            24.424600                1.649687               1.954170
4220.85            20.649800                1.604777              -1.820219
4221.82            20.960900                1.604917              -1.500036
4222.80            25.030100                1.620829               2.550751
4223.77            23.311300                1.595284               0.831951
4224.74            20.253400                1.513227              -2.225948
4225.71            21.936900                1.536046              -0.562786
4226.69            23.300100                1.569971               0.781721
4227.66            21.507000                1.559040              -1.026855
4228.63            24.977500                1.624777               2.423365
4229.61            23.940000                1.622898               1.366106
4230.58            21.276600                1.591310              -1.308565
4231.56            22.911000                1.596349               0.325834
4232.53            24.391300                1.619627               1.809164
4233.50            23.166400                1.613359               0.584265
4234.48            24.371000                1.647648               1.777325
4235.45            24.956900                1.659217               2.345350
4236.43            23.318000                1.635291               0.706451
4237.41            20.635300                1.550770              -1.976250
4238.38            19.413800                1.489980              -3.197750
4239.36            22.368300                1.526403              -0.243250
4240.33            22.684900                1.551580               0.085152
4241.31            24.686000                1.643133               2.086252
4242.29            24.213900                1.632282               1.595825
4243.26            21.354800                1.663274              -1.281675
4244.24            24.774700                1.664244               2.156626
4245.22            20.108700                1.614801              -2.509375
4246.20            25.292700                1.619245               2.656225
4247.17            24.050400                1.594487               1.432325
4248.15            21.411100                1.542653              -1.188648
4249.13            24.949200                1.613892               2.367863
4250.11            23.358100                1.607815               0.758352
4251.09            21.360200                1.556890              -1.257378
4252.07            19.834200                1.502060              -2.783379
4253.05            21.476300                1.549024              -1.136549
4254.02            21.973100                1.548732              -0.641419
4255.00            21.133600                1.577955              -1.474737
4255.98            25.251700                1.609344               2.633717
4256.96            21.951400                1.595207              -0.685263
4257.94            25.011500                1.600289               2.374836
4258.93            25.505100                1.668608               2.849815
4259.91            22.628600                1.609709              -0.026686
4260.89            21.960500                1.620963              -0.676027
4261.87            23.313500                1.624724               0.676971
4262.85            20.948600                1.581861              -1.668438
4263.83            21.614700                1.582239              -0.983284
4264.81            20.583400                1.517933              -2.014584
4265.80            20.643000                1.547456              -1.940287
4266.78            23.454100                1.565415               0.883467
4267.76            22.388400                1.581600              -0.161913
4268.74            21.629900                1.604750              -0.900024
